brand,name,url,image,price_original,price_sale,saving_amount,saving_pct
Triban,Chaussures de vélo de route SPD – GRVL 500 bleu,https://www.decathlon.ca/fr/p/8510100/chaussures-de-velo-de-routespd-grvl500-bleu,https://contents.mediadecathlon.com/p1600668/k$6e4da18e95f490fbe6e4b3f29f74e9ac/chaussures-de-velo-de-routespd-grvl500-bleu.jpg?format=auto&f=3840x0,60.0,30.0,30.0,50.0
Decathlon,Lunettes de cross-country photochromiques catégorie 1-3,https://www.decathlon.ca/fr/p/8575783/lunettes-de-cross-country-photochromiques,https://contents.mediadecathlon.com/p1834214/k$22cd76849121c166aa69f0d1009c7644/lunettes-de-cross-country-photochromiques.jpg?format=auto&f=3840x0,50.0,25.0,25.0,50.0
Van Rysel,Collant capri de vélo 100 – Femmes,https://www.decathlon.ca/fr/p/8587100/collant-capri-de-velo100-femmes,https://contents.mediadecathlon.com/p2015889/k$753ddc9556a081e818f40860115a6959/collant-capri-de-velo100-femmes.jpg?format=auto&f=3840x0,40.0,20.0,20.0,50.0
Fouganza,Legging d'équitation léger femme - 100 bleu,https://www.decathlon.ca/fr/p/8500988/pantalon-dequitation100-femmes,https://contents.mediadecathlon.com/p2292094/k$8300b769e04a3fd6b60903cbe1eae5c0/pantalon-dequitation100-femmes.jpg?format=auto&f=3840x0,40.0,20.0,20.0,50.0
Quechua,Short de randonnée homme – NH 550 gris foncé,https://www.decathlon.ca/fr/p/8644401/short-de-randonnee-homme-nh550-gris-fonce,https://contents.mediadecathlon.com/p2035125/k$51f1cda8948ccaff492157d9cb822529/short-de-randonnee-homme-nh550-gris-fonce.jpg?format=auto&f=3840x0,32.0,16.0,16.0,50.0
Domyos,Pantalon en coton ouaté homme – 500,https://www.decathlon.ca/fr/p/8665367/pantalon-en-coton-ouate-homme-500,https://contents.mediadecathlon.com/p2197577/k$c040478907122835f692e291116e492b/pantalon-en-coton-ouate-homme-500.jpg?format=auto&f=3840x0,30.0,15.0,15.0,50.0
Domyos,Haut court femme – 900,https://www.decathlon.ca/fr/p/8806876/haut-court-femme-900,https://contents.mediadecathlon.com/p2833833/k$27cc412765488bd821366cc1b9e324ee/haut-court-femme-900.jpg?format=auto&f=3840x0,30.0,15.0,15.0,50.0
Fouganza,Polo d'équitation manches courtes mesh femme - 500 bleu,https://www.decathlon.ca/fr/p/8575959/polo-manches-courtes-equitation-femme-500-mesh-bleu-turquin-et-marine,https://contents.mediadecathlon.com/p2387045/k$9c0f2c9cf8839372ee5ce61a61b07331/polo-manches-courtes-equitation-femme-500-mesh-bleu-turquin-et-marine.jpg?format=auto&f=3840x0,30.0,15.0,15.0,50.0
Btwin,Pneu de vélo de route –Triban Protect 650 x 25 avec tringles rigides / 25-571,https://www.decathlon.ca/fr/p/8551726/pneu-de-velo-de-route-triban-protect-650x25-avec-tringles-rigides-25-571,https://contents.mediadecathlon.com/p1757101/k$3fcf1c80f8730b71a4c833806d1ecb69/pneu-de-velo-de-route-triban-protect-650x25-avec-tringles-rigides-25-571.jpg?format=auto&f=3840x0,30.0,15.0,15.0,50.0
Fouganza,Mors équitation cheval et poney à aiguille en inox,https://www.decathlon.ca/fr/p/8216607/mors-equitation-cheval-et-poney-a-aiguille-en-inox,https://contents.mediadecathlon.com/p618514/k$e9213b0d8cdbe893a4a1785226657abe/mors-equitation-cheval-et-poney-a-aiguille-en-inox.jpg?format=auto&f=3840x0,25.0,12.5,12.5,50.0
Olaian,Sandales de plage femme – 500,https://www.decathlon.ca/fr/p/8920146/sandales-de-plage-femme-500,https://contents.mediadecathlon.com/p2829789/k$913fd70906e5f2d2b0a586827dc2310b/sandales-de-plage-femme-500.jpg?format=auto&f=3840x0,20.0,10.0,10.0,50.0
Olaian,Short de surf homme - BS 100,https://www.decathlon.ca/fr/p/8852274/short-de-surf-homme-bs-100,https://contents.mediadecathlon.com/p2632021/k$2c52ab71897d18ca3a0bec797ad673ed/short-de-surf-homme-bs-100.jpg?format=auto&f=3840x0,20.0,10.0,10.0,50.0
Fouganza,Polo d'équitation léger à manches courtes mesh enfant - 500 bleu,https://www.decathlon.ca/fr/p/8515190/polo-manches-courtes-equitation-enfant-500-maille-turquoise-et-marine,https://contents.mediadecathlon.com/p2588920/k$b6dd1c0688e6e7ddc0d4b0c7cc19c1eb/polo-manches-courtes-equitation-enfant-500-maille-turquoise-et-marine.jpg?format=auto&f=3840x0,20.0,10.0,10.0,50.0
Btwin,Collant de vélo 100 – Enfants,https://www.decathlon.ca/fr/p/8542668/collant-de-velo-100-enfants,https://contents.mediadecathlon.com/p1734210/k$ef732e42213a6c7095fd73234990d98b/collant-de-velo-100-enfants.jpg?format=auto&f=3840x0,20.0,10.0,10.0,50.0
Fouganza,Mors équitation cheval et poney 2 anneaux creux en inox,https://www.decathlon.ca/fr/p/8216610/mors-equitation-cheval-et-poney-2-anneaux-creux-en-inox,https://contents.mediadecathlon.com/p618512/k$80bdc360f7711c7576ff8e7490508469/mors-equitation-cheval-et-poney-2-anneaux-creux-en-inox.jpg?format=auto&f=3840x0,15.0,7.5,7.5,50.0
Olaian,"Maillot dermoprotecteur de surf à manches courtes enfant, 100",https://www.decathlon.ca/fr/p/8916342/t-shirt-de-surf-anti-uv-enfant-violet,https://contents.mediadecathlon.com/p2674835/k$ebfa2fe14c23fc0dc8f5e53c413eaf21/t-shirt-de-surf-anti-uv-enfant-violet.jpg?format=auto&f=3840x0,12.0,6.0,6.0,50.0
Olaian,Disque volant,https://www.decathlon.ca/fr/p/8640336/disque-volant,https://contents.mediadecathlon.com/p1925921/k$4e785b72adb5c1080d5ca178beed146c/disque-volant.jpg?format=auto&f=3840x0,12.0,6.0,6.0,50.0
Decathlon,T-shirt respirant enfant,https://www.decathlon.ca/fr/p/8916223/t-shirt-respirant-enfant,https://contents.mediadecathlon.com/p2809664/k$904d790c68ed3229f7da91c842a5aec8/t-shirt-respirant-enfant.jpg?format=auto&f=3840x0,12.0,6.0,6.0,50.0
Domyos,T-shirt de sport homme – Regular 500,https://www.decathlon.ca/fr/p/8873589/t-shirt-de-sport-homme-regular-500,https://contents.mediadecathlon.com/p2826612/k$8e68bae7a9fa6a6fec334e8036d610b7/t-shirt-de-sport-homme-regular-500.jpg?format=auto&f=3840x0,12.0,6.0,6.0,50.0
Olaian,Accessoire pour le séchage des combinaisons,https://www.decathlon.ca/fr/p/8609045/accessoire-pour-le-sechage-des-combinaisons,https://contents.mediadecathlon.com/p1989661/k$830fb490579b061d409ee0ba1b70ab04/accessoire-pour-le-sechage-des-combinaisons.jpg?format=auto&f=3840x0,10.0,5.0,5.0,50.0
Geologic,Flèches de tir à l’arc Easysoft,https://www.decathlon.ca/fr/p/8542569/fleches-de-tir-a-larc-easysoft,https://contents.mediadecathlon.com/p1692120/k$ac0bcf25367767d184b87b362616a6ea/fleches-de-tir-a-larc-easysoft.jpg?format=auto&f=3840x0,10.0,5.0,5.0,50.0
Radbug,Attache de poignet 100 pour débutants,https://www.decathlon.ca/fr/p/8580671/attache-de-poignet100-pour-debutants,https://contents.mediadecathlon.com/p2411116/k$3e5bce216ed3f4eccb0b7118cfce4ced/attache-de-poignet100-pour-debutants.jpg?format=auto&f=3840x0,10.0,5.0,5.0,50.0
Olaian,Short de surf garçon - bleu cyan,https://www.decathlon.ca/fr/p/8808677/short-de-surf-garcon-bleu-cyan,https://contents.mediadecathlon.com/p2612417/k$6f2b0a2e7313f4d3c255610adc2eb6bb/short-de-surf-garcon-bleu-cyan.jpg?format=auto&f=3840x0,8.0,4.0,4.0,50.0
Olaian,Haut de maillot de bain triangle coulissant femme - Mae noir,https://www.decathlon.ca/fr/p/8653085/haut-de-maillot-de-bain-triangle-coulissant-femme-mae-noir,https://contents.mediadecathlon.com/p1783819/k$0c6e99bced04a3ebd2b64e998d278632/haut-de-maillot-de-bain-triangle-coulissant-femme-mae-noir.jpg?format=auto&f=3840x0,8.0,4.0,4.0,50.0
Domyos,Camisole de gymnastique – Filles,https://www.decathlon.ca/fr/p/8664447/camisole-de-gymnastique-filles,https://www.decathlon.ca/images/product-image-placeholder.jpg?f=3840x0&format=auto,8.0,4.0,4.0,50.0
Caperlan,Plombs pour pêche de la carpe x2 70 g - Distance,https://www.decathlon.ca/fr/p/8559422/plombs-pour-peche-de-la-carpe-x2-70-g-distance,https://contents.mediadecathlon.com/p2908375/k$3cba20206d1c9b774776ed9bd8a28608/plombs-pour-peche-de-la-carpe-x2-70-g-distance.jpg?format=auto&f=3840x0,8.0,4.0,4.0,50.0
Nabaiji,Maillot de bain bébé boxer bleu,https://www.decathlon.ca/fr/p/8575097/maillot-de-bain-bebe-boxer-bleu,https://contents.mediadecathlon.com/p1746304/k$ecd8230205a251ebaf73ab15266fe9ab/maillot-de-bain-bebe-boxer-bleu.jpg?format=auto&f=3840x0,6.0,3.0,3.0,50.0
Oxelo,Coque pour trottinette 3 roues - B1,https://www.decathlon.ca/fr/p/8644087/coque-jaune-pour-trottinette3-rouesb1,https://contents.mediadecathlon.com/p2085648/k$e631db0a9d9b42299a01962f4e91fc70/coque-jaune-pour-trottinette3-rouesb1.jpg?format=auto&f=3840x0,6.0,3.0,3.0,50.0
Caperlan,Hameçons pêche de la Truite SN HOOK double barb,https://www.decathlon.ca/fr/p/8558259/hamecons-peche-de-la-truite-sn-hook-double-barb,https://contents.mediadecathlon.com/p1823804/k$af3a66815666490774b5ea3e34224f09/hamecons-peche-de-la-truite-sn-hook-double-barb.jpg?format=auto&f=3840x0,6.0,3.0,3.0,50.0
Geologic,Ensemble de 4 clous à blason de tir à l'arc,https://www.decathlon.ca/fr/p/8402133/ensemble-de-4clous-a-blason-de-tir-a-l-arc,https://contents.mediadecathlon.com/p1529232/k$ece99a8beafdbe28fb0376e6a0a5554d/ensemble-de-4clous-a-blason-de-tir-a-l-arc.jpg?format=auto&f=3840x0,4.0,2.0,2.0,50.0
Geologic,Repose-flèche pour gaucher,https://www.decathlon.ca/fr/p/8336929/repose-fleche-pour-gaucher,https://contents.mediadecathlon.com/p755429/k$4e3ba3e446a14bbd06f76a3d4596e030/repose-fleche-pour-gaucher.jpg?format=auto&f=3840x0,3.0,1.5,1.5,50.0
Quechua,Bottes d'hiver femme – SH 500,https://www.decathlon.ca/fr/p/8344574/bottes-de-randonnee-d-hiver-femmes-sh520-x-warm-noir,https://contents.mediadecathlon.com/p2579438/k$727137eedada99a63e9b5eec0c7e2985/bottes-de-randonnee-d-hiver-femmes-sh520-x-warm-noir.jpg?format=auto&f=3840x0,105.0,53.0,52.0,49.52
Fouganza,Legging d'équitation chaud avec basane en silicone femme,https://www.decathlon.ca/fr/p/8789475/legging-d-equitation-chaud-femme-500-vert,https://contents.mediadecathlon.com/p2510019/k$7a95b63c6f4c0fdd9eda514a73fd4cc3/legging-d-equitation-chaud-femme-500-vert.jpg?format=auto&f=3840x0,50.0,26.0,24.0,48.0
Kipsta,Chaussures de soccer à bande autoagrippante enfant – Viralto I Easy FG,https://www.decathlon.ca/fr/p/8844020/chaussures-de-soccer-enfant-viralto-i-easy-fg,https://contents.mediadecathlon.com/p2583387/k$ec4f4d02e69550052a581104503cbaa2/chaussures-de-soccer-enfant-viralto-i-easy-fg.jpg?format=auto&f=3840x0,38.1,20.0,18.1,47.51
Inesis,CHAUSSURES GOLF FEMME GRIP DRY MARINE,https://www.decathlon.ca/fr/p/8512051/chaussures-golf-femme-grip-dry-marine,https://contents.mediadecathlon.com/p1642773/k$0992c54a9f939802eb3f66d317500362/chaussures-golf-femme-grip-dry-marine.jpg?format=auto&f=3840x0,75.0,40.0,35.0,46.67
Olaian,Legging de surf anti-UV enfant – 500,https://www.decathlon.ca/fr/p/8604263/legging-de-surf-anti-uv-enfant-500,https://contents.mediadecathlon.com/p2225376/k$2c81cf2f5c9e59fa2d5737efccd13de8/legging-de-surf-anti-uv-enfant-500.jpg?format=auto&f=3840x0,15.0,8.0,7.0,46.67
Quechua,Jupe short enfant – MH 100 bleu marine,https://www.decathlon.ca/fr/p/8525829/jupe-short-enfant-mh100-bleu-marine,https://contents.mediadecathlon.com/p1760686/k$726eb74dee02ee628a3b6a0f96af61f4/jupe-short-enfant-mh100-bleu-marine.jpg?format=auto&f=3840x0,15.0,8.0,7.0,46.67
Simond,Legging de randonnée femme – Travel 500,https://www.decathlon.ca/fr/p/8642109/legging-femme-travel500-noir,https://contents.mediadecathlon.com/p2511281/k$32f8897c975f7eecc947821650d9232f/legging-femme-travel500-noir.jpg?format=auto&f=3840x0,55.0,30.0,25.0,45.45
Olaian,Sandales de plage femme – 550,https://www.decathlon.ca/fr/p/8920150/sandales-de-plage-femme-550,https://contents.mediadecathlon.com/p2840676/k$7cd7fb549ea55551d075ea41d7ff7b0a/sandales-de-plage-femme-550.jpg?format=auto&f=3840x0,22.0,12.0,10.0,45.45
