name,url,image,sku,price_original,price_sale,saving_amount,saving_pct,qty,availability,availability_link
"Tablettes flottantes en hévéa, 1 x 48 po / 2 x 24 po, 3/pqt",https://patrickmorin.com/fr/tablettes-flottantes-en-hevea-1-x-48-po-2-x-24-po-3-pqt-0643974,https://patrickmorin.com/media/catalog/product/1/-/1-0643974-fr.jpg,0643974,129.99,64.99,65.0,50.0,60,Livraison disponible,https://patrickmorin.com/fr/tablettes-flottantes-en-hevea-1-x-48-po-2-x-24-po-3-pqt-0643974?view-availability=1
"Jardinière hydroponique AEROGARDEN, 3 capsules",https://patrickmorin.com/fr/jardiniere-hydroponique-aerogarden-3-capsules-1267231,https://patrickmorin.com/media/catalog/product/1/-/1-1267231-fr.jpg,1267231,129.99,64.99,65.0,50.0,12,Livraison disponible,https://patrickmorin.com/fr/jardiniere-hydroponique-aerogarden-3-capsules-1267231?view-availability=1
"Bureau de travail Industriel, bois et noir, 39,4 po x 29,5 po x 19,7 po",https://patrickmorin.com/fr/bureau-de-travail-industriel-bois-et-noir-39-4-po-x-29-5-po-x-19-7-po-2861509,https://patrickmorin.com/media/catalog/product/o/f/office-desk-1-2861509-fr.jpg,2861509,129.99,64.99,65.0,50.0,8,Livraison disponible,https://patrickmorin.com/fr/bureau-de-travail-industriel-bois-et-noir-39-4-po-x-29-5-po-x-19-7-po-2861509?view-availability=1
"Coffre de chantier 36 po, noir",https://patrickmorin.com/fr/coffre-de-chantier-36-po-noir-7047012,https://patrickmorin.com/media/catalog/product/j/o/jobsite-box-36-in-black-1-7047012-fr.jpg,7047012,249.99,187.49,62.5,25.0,2,Livraison disponible,https://patrickmorin.com/fr/coffre-de-chantier-36-po-noir-7047012?view-availability=1
"Grande table d'appoint en bois manguier, brun",https://patrickmorin.com/fr/grande-table-d-appoint-en-bois-manguier-brun-2810010,https://patrickmorin.com/media/catalog/product/1/-/1-2810010-fr.jpg,2810010,119.99,59.99,60.0,50.0,9,Livraison disponible,https://patrickmorin.com/fr/grande-table-d-appoint-en-bois-manguier-brun-2810010?view-availability=1
Douche téléphone VERSO,https://patrickmorin.com/fr/douche-telephone-verso-2909366,https://patrickmorin.com/media/catalog/product/1/-/1-2909366-fr.jpg,2909366,118.99,59.49,59.5,50.0,1,Livraison disponible,https://patrickmorin.com/fr/douche-telephone-verso-2909366?view-availability=1
"Pare-étincelles en inox pour muret MODERNO/URBANIA, Patio Drummond",https://patrickmorin.com/fr/pare-etincelles-en-inox-pour-muret-moderno-urbania-patio-drummond-paetmoin,https://patrickmorin.com/media/catalog/product/s/t/stainless-steel-fireguard-for-moderno-and-urbania-wall-1-PAETMOIN-fr.jpg,PAETMOIN,529.99,475.0,54.99,10.38,1,Livraison disponible,https://patrickmorin.com/fr/pare-etincelles-en-inox-pour-muret-moderno-urbania-patio-drummond-paetmoin?view-availability=1
"Film poly patinoire, 40 pi x 50 pi, blanc",https://patrickmorin.com/fr/film-poly-patinoire-40-pi-x-50-pi-blanc-0258012,https://patrickmorin.com/media/catalog/product/1/-/1-0258012-fr.jpg,0258012,215.99,161.99,54.0,25.0,1,Livraison disponible,https://patrickmorin.com/fr/film-poly-patinoire-40-pi-x-50-pi-blanc-0258012?view-availability=1
"Chaise empilable BELAIR, noir",https://patrickmorin.com/fr/chaise-empilable-belair-noir-2813946,https://patrickmorin.com/media/catalog/product/b/e/belair-chair-22-5-in-x-37-in-x-25-in-black-1-2813946-fr.jpg,2813946,99.99,49.99,50.0,50.01,7,Livraison disponible,https://patrickmorin.com/fr/chaise-empilable-belair-noir-2813946?view-availability=1
"Chaise PASADENA, gris",https://patrickmorin.com/fr/chaise-pasadena-gris-2814187,https://patrickmorin.com/media/catalog/product/1/-/1-2814187-fr.jpg,2814187,99.99,49.99,50.0,50.01,16,Livraison disponible,https://patrickmorin.com/fr/chaise-pasadena-gris-2814187?view-availability=1
